Nome Completo,Nome Urna,Partido
PEDRO PEREIRA LOPES MEIRELLES PADILHA,PEDRO PEREIRA LOPES,CIDADANIA
PEDRO PIRES SANTOS,PEDRO PIRES,PDT
EDSON LUIS PEPATO,PEPATO,PTB
PETERSON JOSE BERNARDO,PETERSON,PP
PLINIO ROLAND CALCHI,PLINIO CALCHI,PATRIOTA
ANA PAULA VAZ DE OLIVEIRA DOS SANTOS,PROFESSORA ANA PAULA VAZ,SOLIDARIEDADE
CATIA SIRENI APARECIA ZACARIA BUENO DE OLIVEIRA,PROFESSORA CATIA BUENO,PDT
NEUSA VALENTINA GOLINELI,PROFESSORA NEUSA,CIDADANIA
AZUAITE MARTINS DE FRANCA,PROFESSOR AZUAITE,CIDADANIA
FABIO FELIPE,PROFESSOR FABIO JAMAICA,PTB
PAOLINO ROBERTO ROSI,PROFESSOR PAOLINO,PDT
SILVIO JOSE PADOVAN,PROFESSOR SILVIO,CIDADANIA
VALTER CARNEIRO DA SILVA JUNIOR,PROFESSOR VALTER,PT
JOSÉ VANDERLEI RODRIGUES MARTINS,PROFESSOR VANDÃO,PL
RAFAEL EDUARDO MARINO,RAFAEL MARINO,PP
RAFAEL CARLOS DOS SANTOS,RAFAEL SANTOS,PL
RAQUEL AUXILIADORA DOS SANTOS,RAQUEL AUXILIADORA,PT
RAULF RICARDO ALBANO,RAULF RICARDO,SOLIDARIEDADE
REGINALDO JOSÉ DA SILVA,REGINALDO PELÉ,PSDB
REINALDO ROSALINO ROSSI,REINALDO ROSSI,PSDB
RENATO MENDES DE OLIVEIRA,RENATO MENDES,PDT
RENATO CARLOS TASSI,RENATO TASSI,PL
RICARDO DEANGELO,RICARDO DEANGELO,PL
RICARDO RIOS DE OLIVEIRA,RICARDO RIOS,PTB
ROBELSON MOREIRA LULA,ROBELSON MOREIRA,CIDADANIA
ROBERTO CARDOSO VIEIRA,ROBERT CABELEIREIRO,SOLIDARIEDADE
ROBSON ROBERTO CIPRIANO,ROBSON CIPRIANO,PDT
RODOLFO HERNANE OMETTO,RODOLFO HERNANE,PSDB
RODRIGO LOPES DE SOUZA,RODRIGO BOMBEIRO,PSDB
ALEXANDRO RODRIGO ECHEVERRIA,RODRIGO ECHEVERRIA,PT
RODRIGO FONTANA,RODRIGO FONTANA,PSDB
RODSON MAGNO DO CARMO,RODSON,PSDB
ROGERIO PEREIRA,ROGERINHO,PT
ROGERIO FRANCISCO INACIO,ROGERIO INACIO,AVANTE
RONALDO DE SOUSA,RONALDO DE SOUSA,SOLIDARIEDADE
RONIVON FERREIRA DA SILVA,RONI SILVA,PP
ROOSEVELT SOARES DE PAULA,ROOSEVELT,SOLIDARIEDADE
ROSANA MACIEL,ROSANA MACIEL,PSDB
ROSELI APARECIDA FIGUEIREDO,ROSELI DA UPA,CIDADANIA
JOSE RUBENS ZANCHETA,RUBAO ZANCHETA,PTB
SAMUEL MARTINS TRINDADE,SAMUCA DO ONIBUS,SOLIDARIEDADE
SERGIO ALVES ROCHA,SERGIO ROCHA,PTB
AMERICO DOS SANTOS,SEU AMERICO,PP
SHIRLEY DA SILVA BARBOSA,SHIRLEY BARBOSA,PP
SILVANA SIMONE ROBERTI,SILVANA ROBERTI,CIDADANIA
SILVIA HELENA GASPARINO,SILVIA GASPARINO,PT
JOSE ILTON AZEVEDO DE OLIVEIRA,SUSSA TA TENO,SOLIDARIEDADE
SUZI SIMÕES DE MELLO,SUZI,SOLIDARIEDADE
TADEU SOARES GUATURA,TADEU GUATURA,PP
NIZETE CRISTIANE APARECIDA DOS SANTOS DA SILVA,TEKA SILVA,PP
THAIS BERTOLOTE DE OLIVEIRA,THAIS BERTOLOTE,PL
THIAGO OLIVEIRA DE ANDRADE,THIAGO ANDRADE,PTB
THIAGO DE JESUS BRAGA QUIRINO DOS SANTOS,THIAGO DE JESUS,CIDADANIA
THIAGO LUIZ LOPES MALDONADO,THIAGO DO LUIZ MOTOS,CIDADANIA
CRISTINA RODRIGUES DA SILVA JORGE,TIA CRIS,PDT
TIAGO ORLANDI PARELLI,TIAGO PARELLI,PP
LILIAN ESKARLETE ZAMBON ZAPPAROLI CALABRESE,TIA LILIAN,AVANTE
PRISCILA DO SOCORRO VALIM SIGOLI,TIA PRI DA VAN,CIDADANIA
EMERSON LUIS VERGARA PAULO,TIO EMERSON,PTB
MARCO ANTONIO NUNES DA SILVA,TIO MARCO,PTB
ANTONIO EDUARDO JESUS DOS SANTOS,TONINHO TODDY,AVANTE
ANTONIO CARLOS DA SILVA,TUCURA,PP
DIRCE RODRIGUES GOMES,TYAZINHA BRASIL,PDT
VALDSON DA MOTA SILVA,VALDSON MOTA,PATRIOTA
LUIS VALENTIM DA SILVA,VALENTIM,PTB
VALDEMIR PEREIRA GOMES,VAL GERENTE,PTB
VALMIR FERREIRA DE LIMA,VALMIR LIMA,PTB
VERA LÃšCIA CIARLO RAYMUNDO,VERA RAYMUNDO,PSDB
WESLEN FLORIANO PAULO,WESLEN PAULO,PATRIOTA
WILSON LUIS TOZO,WILSON TOZO,PL
WIVIANE MARIA SPAZIANI TIBERTI,WIVIANE TIBERTI,PL
EDMILSON AURELIANO DA SILVA,ZE BONITINHO,SOLIDARIEDADE
JOSE JOAO DOS SANTOS,ZÉ DO BIGODE DO VARJÃO,PDT
ZILDA CAPORASSO,ZILDA CAPORASSO,PTB
ZILDINHA APARECIDA CAMARGO,ZILDINHA CAMARGO,PT
